Filename,Page No.,Yadi Bhag No.,Content
012-Farooq_S_Umar_Bhai_Path.pdf,1,0012, NS Cross Street Municipal House No. 1 to 9 b) Meghraj Sethi Marg Municipal House No. 3 St Andrews Church and nearby slum
013-Farooq_S_Umar_Bhai_Path.pdf,1,0013, a) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 97C to 111 b) Cyrus Avenue Path
015-Farooq_S_Umar_Bhai_Path.pdf,1,0015, Mohammed Shaheed Marg (Moreland Road) Municipal House No. 81 to 85B
016-Madhavrao_Gangan_Road.pdf,1,0016, a) Madhavrao Gangan Marg Municipal House No. 9 BIT Chawl No. 24 b) R.B. Marg Municipal House No. 11 to 25
017-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,0017, a) Madhavrao Gangan Marg Municipal House No. 17 to 23 b) Madhavrao Gangan Marg Municipal House No. 8 to 10
018-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,0018," a) Farooq S Umarbhai Path Municipal House No. 6 to 8 b) Ghelabhai First Street Municipal House No. 21A, 21, 19 and 12–14 c) Ghelabhai Second Street Municipal House No. 2, 4 to 24–42\n d) Ripon Road First Cross Lane (Dagdi Chawl)"
019-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,0019, a) Mohammed Umar Rajab Road Municipal House No. 5 to 23 b) Sheikh Hafizuddin Marg (Sakhli Street) Municipal House No. 70 to 84 c) Ghelabhai First Street Municipal House No. 1 to 17
020-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,1,, a) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 93 to 97 b) Maulana Azad Road Municipal House No. 200 to 218A
021-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0021, a) Second Ghelabhai Street Municipal House No. 1 to 35 b) Mohammed Umar Rajab Road Municipal House No. 22C Hussain Building and 22D Hussain Building c) Mohammed Street (Gost Bazaar) Kamal Building and Aterm Manzil Building
022-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0022," a) Third Ghelabhai Street b) Mohammedan Street (Gost Bazaar) Rehman Building, Rasul Building and Strath Manzil Building"
023-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0023, a) Siddiq Lane b) Mohammed Umar Rajab Road Municipal House No. 2 to 22B Hussain Building
024-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0024, a) Maulana Azad Road Municipal House No. 122 to 196 b) Jehangir Boman Behram Marg Municipal House No. 216 to 254 c) Maulana Azad Road Municipal House No. 78 to 94B
025-Mohd_Umar_Rajab_Road_Madan_Pura.pdf,1,0025, a) Mohammed Umar Rajab Road Municipal House No. 25 to 55 b) Mohammed Umar Rajab Road Municipal House No. 26A to 52A
026-2nd_Ghelabhai_Street_Madanpura.pdf,1,, a) Sheikh Hafeezuddin Road (Sakhli Street) Municipal House No. 69 to Abdul House b) Maulana Azad Road Municipal House No. 222 to 258 c) Maulana Azad Road Municipal House No. 236D to Patel and Soni Architects
027-Jehangir_Boman_Behram_Marg.pdf,1,0027, a) Mohammed Shaheed Marg (Moreland Road) Municipal House No. 59A to 75 Haji Chawl b) Jehangir Boman Behram Marg Municipal House No. 254 to 272A
028-Mirza_Ghalib_Byculla.pdf,1,, a) Spain Road b) Shepherd Road Municipal House No. 4 to 10 c) Sir Jamshedji Jijibhoy Road Municipal House No. 310 to 332
029-Mirza_Ghalib_Byculla.pdf,1,0029, a) Jamshedji Jijibhoy Road Municipal House No. 311A to 333 b) Fire Church Road
030-Mirza_Ghalib_Byculla.pdf,1,0030, Mirza Ghalib Marg (Clare Road) Municipal House No. 17 to Jail Police Lane
031-Sant_Savata_Marg_Byculla.pdf,1,0031, a) Sant Savata Marg Municipal House No. 41 to 119F b) Sitafalwadi Municipal House No. 1 to 17 c) Sant Savata Marg Municipal House No. 95 to 167 and Mashina Hospital Nurse Quarters\n d) Sitafalwadi Municipal House No. 2 to 24
032-Sant_Savata_Marg_Byculla.pdf,1,0032, a) Dr Babasaheb Ambedkar Road Municipal House No. 267 to 297 b) Dr Babasaheb Ambedkar Road Municipal House No. 150 to 218 c) Dr Mascarenhas Road Municipal House No. 82 to 128–130 Aga Khan Building
033-170-192_Dr_Mascarenance_Road_Mazgaon.pdf,1,0033, Dr Mascarenhas Road Municipal House No. 138 Adamji Bhai Rangwala Chawl to 140 Guru Himmat Co-op Society and Municipal House No. 142 to 216 including Padamsi Wadi and Boman Behram Buildings
034-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0034, a) Sheth Motisha Lane Municipal House No. 108 to 134 b) D.N. Singh Road (Hathibag Lane) Municipal House No. 11 to 13 Batula House
035-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0035, a) Sheth Motisha Lane Municipal House No. 140 to 160 b) Sheth Motisha Lane Municipal House No. 114 to 136A c) D.N. Singh Road (Hathibag Lane) Municipal House No. 105 and nearby slum
036-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0036, a) Sheth Motisha Lane Municipal House No. 114 to 134A BIT Chawl 3 and rear slum b) D.N. Singh Road (Hathibag Lane) Municipal House No. 51 to 55
037-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,, a) Sheth Motisha Lane Municipal House No. 136 to 138 b) D.N. Singh Road (Hathibag Lane) Municipal House No. 5 to 91D
038-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,0038, a) Sheth Motisha Lane Municipal House No. 105J to 109C Mumbai Transport Chawl b) Sheth Motisha Lane Municipal House No. 111–112 Mehta Chambers to 189 Siddhachal Darshan
039-136_Sheth_Motishah_Lane_(Love_Lane).pdf,1,0039, D.N. Singh Road (Hathibag Lane) Municipal House No. 1 to 29A
040-105-C_136_Sheth_Motisha_Lane_(Loe_Lane).pdf,1,0040, Sheth Motisha Lane Municipal House No. 5 Rosario Patra Chawl 1 to 103 Brahmanwadi Chawl and roadside hotel
041-105-C_136_Sheth_Motisha_Lane_(Loe_Lane).pdf,1,0010, a) Sheth Motisha Lane Municipal House No. 105 Swapna Building to 105B Tarabag Chawl b) Sheth Motisha Lane Municipal House No. 6 to 42 c) Sheth Motisha Lane Municipal House No. 68 to 96
042-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0042, a) Sheth Motisha Lane Municipal House No. 98 to 100A and 115 b) Sheth Motisha Lane (Kopar Estate) c) D.N. Singh Road (Hathibag Lane) Municipal House No. 29B to 172\n d) D.N. Singh Road Municipal House No. 13 to 85A and 2 onwards
043-Sheth_Motisha_Lane_(Love_Lane).pdf,1,0043, a) Sheth Motisha Lane Municipal House No. 164 to 200 b) Shivdas Chapsi Marg Municipal House No. 2 to 42 c) Sheth Motisha Lane Municipal House No. 44 to 52
044-Nesbit_Road_Low_Level.pdf,1,0044, a) Hansraj Lane Municipal House No. 6 to 16A Sanjay Apartment
045-Nesbit_Road_Low_Level.pdf,1,0045, a) Hansraj Lane Municipal House No. 16A Ashok Apartment to 16 Ajay Apartment b) Hansraj Lane Municipal House No. 1 to 5E
046-Nesbit_Road_Low_Level.pdf,1,0046, a) Sheth Motisha Lane Municipal House No. 136 to 138 b) Sheth Motisha Lane (Love Lane Cross Lane) Sector No. 5 Shatrunjay Darshan Building to Municipal House No. 4 Shiv Mandir
047-Nesbit_Road_Low_Level.pdf,1,0047, Sheth Motisha Lane (Love Lane Cross Lane) Municipal House No. 3 to Kaushi Cottage to Municipal House No. 16 Union Building
048-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,0048, a) Nesbit Road (Low Level) b) Sardar Balwant Singh Dhodi Marg Municipal House No. 2 to 44F c) Sardar Balwant Singh Dhodi Marg Municipal House No. 46 Aga Hall Chawl No. 11 to 331 Aga Hall Chawl No. 13
049-Sardar_Balwant_Singh_Dhodi_Marg_Mazgaon.pdf,1,0049, a) Sardar Balwant Singh Dhodi Marg Municipal House No. 352 Aga Hall Ali Minar to Burhani College of Commerce b) Dr Mascarenhas Road Municipal House No. 218 to 239AB
050-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0050, Meghraj Sethi Marg Municipal House No. 36 to 52B
051-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0051, a) Meghraj Sethi Marg Municipal House No. 2 to Islam Bima Baithi Chawl b) Mohammed Siddique Ansari Lane (Milk Street) Municipal House No. 14 to P Chawl No. 8 c) Church area Municipal House No. 25 to 89
052-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0052, a) Mohammed Siddique Ansari Lane (Milk Street) b) Baburao Jagtap Marg Municipal House No. 812 to 826
053-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,0053, Hafeez Ali Bahadur Khan Marg (Tank Pakhadiya Marg) Municipal House No. 16 to 54 and nearby slum
054-790_Bapurao_Jagtap_Marg.pdf,1,0054, a) Hafeez Ali Bahadur Khan Marg (Tank Pakhadiya Marg) Municipal House No. 74 First Mala Building to 96 Hamid Building b) New Khatau Makhanji Building No. 5 and nearby slum c) Baburao Jagtap Marg Municipal House No. 845 to 867A
055-790_Bapurao_Jagtap_Marg.pdf,1,0055, Mohammed Siddique Ansari Lane (Milk Street) Municipal House No. 9A Irfan Building nearby slum and Transit Camp Chawl No. 1 to 16
056-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0056, Mohammed Siddique Ansari Lane (Milk Street) Transit Camp Chawl No. 17 to 27 and footpath slum
057-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0057, a) Baburao Jagtap Marg Municipal House No. 785 Dattaram Building to 807 Khalifa Chawl b) Halka-e-Ahbab Marg (Fourth Lane of Sakhli Street) c) Baburao Jagtap Marg Municipal House No. 821 to 845 Shivneri Building
058-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,0058, Mohammed Siddique Ansari Lane (Milk Street) BIT Chawl No. 3 and 4
059-Meghraj_Shethi_Marg_Bychala.pdf,1,0059, a) Ganesh Hari Parundekar Marg Municipal House No. 91 to 101 b) Maulana Azad Road Municipal House No. 79 to 11
060-Meghraj_Shethi_Marg.pdf,1,0060,"Water Street, Khatau Mill Chawl to Lucky Compound Bldg No. 7"
061-Meghraj_Shethi_Marg.pdf,1,0061,"a) Hafiz Ali Bahadurkhan Marg (Tank Pakhadi Rd) Municipal House No. 51 to 81, Mun Chawl No. 6. b) Badlu Rangari Street Municipal House No. 17 to 21."
062-Meghraj_Shethi_Marg.pdf,1,0062,"a) Slums near N.M. Joshi Marg Byculla Municipal House No. 687, Mahavir Estate. b) G.H.P. Marg No. 1 to 21. c) Lucky Compound Bldg No. 8 to Municipal House No. 18, New L. Chawl No. 9. d) Sakhli Street 3rd Cross Lane Municipal House No. 4 to 12. e) Delisle Road Cross Lane Municipal House No. 7 to 11."
063-Meghraj_Shethi_Marg.pdf,1,0063,Badlu Rangari Street Municipal House No. 2 Patra Chawl No. 4 to Municipal House No. 8-12 Ashrafi Manzil.
064-Meghraj_Shethi_Marg.pdf,1,0064,"a) Meghraj Sethi Marg, Slums near Bambkhana to Aga Khan Chawl. b) Ganesh Hari Parundekar Marg, Sai Mohammad Chawl to Slums near Bombay Andhra Transport."
065-Meghraj_Shethi_Marg.pdf,1,0065,a) Badlu Rangari Street Municipal House No. 19 Islammiya Bldg to 20 Kismat Manzil. b) Maulana Azad Road Municipal House No. 117 to 137.
066-Meghraj_Shethi_Marg.pdf,1,0066,"a) Sunder Lane Municipal House No. 1 to 9. b) Bapurao Jagtap Marg Municipal House No. 901 to 935, Slums near Vakil Chawl Compound."
067-Meghraj_Shethi_Marg.pdf,1,0008,a) Sakhli Street 1st Cross Lane. b) Sakhli Street 2nd Cross Lane.
068-Meghraj_Shethi_Marg.pdf,1,0068,Sakhli Street 3rd Cross Lane Municipal House No. 5 to 15 and Slums near Vitthal Temple.
069-Meghraj_Shethi_Marg.pdf,1,0069,a) Bapurao Jagtap Marg Municipal House No. 774 to 808. b) Bapurao Jagtap Marg Municipal House No. 868 to 924.
070-Meghraj_Shethi_Marg.pdf,1,0070,"Badlu Rangari Street Municipal House No. 7, Municipal Patra Chawl No. 1 to Municipal House No. 15."
071-Meghraj_Shethi_Marg.pdf,1,0071,Sunder Lane Municipal House No. 8-20 to Chaitanya Bldg.
072-Meghraj_Shethi_Marg.pdf,1,0072,a) Maulana Azad Road Municipal House No. 147 to 165F. b) Maulana Azad Road Municipal House No. 177 to 187. c) Sakhli Street 5th Cross Lane.
073-Sant_Savata_Marg.pdf,1,0073,a) Dr. Babasaheb Ambedkar Road Municipal House No. 228 to 242. b) Namdev Umaji Bhalige Marg Municipal House No. 3 to 10. c) Namdev Umaji Bhalige Marg 1st Cross Lane.
075-Sheikh_Hafizuddin_Marg.pdf,1,0075,a) Sheikh Hafizuddin Marg (Sakhli Street) Municipal House No. 2 to 64A. b) Mirza Ghalib Marg (Clare Road) Municipal House No. 48 Khairunissa Roghe Bldg to Municipal House No. 82 Clare House Town Hospital.
076-Mirza_Ghalib_Road.pdf,1,0076,Rippon Road 2nd Cross Lane Municipal House No. 1 to 12.
077-Mirza_Ghalib_Road.pdf,1,0077,a) Rippon Road 2nd Cross Lane Municipal House No. 14 to 19 Mehfilwali Chawl. b) Maulana Azad Road Municipal House No. 243E to 245. c) Maulana Azad Road Municipal House No. 247 to 259.
078-Mirza_Ghalib_Road.pdf,1,0078,a) Mirza Ghalib Marg (Clare Road) Municipal House No. 2 to 44G. b) Maulana Azad Road Municipal House No. 173 to Noorani Chawl No. 6.
079-Mirza_Ghalib_Road.pdf,1,0079,Maulana Azad Road Municipal House No. 199 to 243.
080-Mirza_Ghalib_Road.pdf,1,0080,Sheikh Hafizuddin Marg (Sakhli Street) Municipal House No. 3 to 59G.
081-243_Sane_Guruji_Marg.pdf,1,0081,a) Sheikh Hafizuddin Road Municipal House No. 61 to 87A Dhobighat Slums. b) Maulana Azad Road Municipal House No. 167A Isasheth Chawl to Municipal House No. 173 Patra Chawl.
082-Mirza_Ghalib_Road.pdf,1,0082,Sane Guruji Road Municipal House No. 171 to 187 Kermani Bldg.
083-Sane_Guruji_Marg.pdf,1,0083,a) Sane Guruji Marg Municipal House No. 243 to 13-14 Shivdarshan. b) Sant Gadge Maharaj Chowk (Jacob Circle) Municipal House No. 45 Round Bldg.
084-Sane_Guruji_Marg.pdf,1,0084,a) Keshavrao Khadye Marg Municipal House No. 56F Rasuljuwa Compound to 56L. b) Sane Guruji Marg Municipal House No. 209 to 237A.
085-Sane_Guruji_Marg.pdf,1,0085,a) Keshavrao Khadye Marg Municipal House No. 45 to 75. b) Keshavrao Khadye Marg Municipal House No. 13D to 45 and Saikripa.
086-Keshavrao_Khade_Marg.pdf,1,0086,a) Keshav Khadye Marg Municipal House No. 56M to 56T. b) Keshavrao Khadye Marg Municipal House No. 58 to 68 and Saikripa.
087-N.M.Joshi_Marg.pdf,1,0087,Keshavrao Khadye Marg Municipal House No. 10 to Slums near Simplex Mill and Sant Gadge Maharaj Chowk Municipal House No. 27 to 35.
088-N.M.Joshi_Marg.pdf,1,-,a) Sane Guruji Marg Mun No. 269 to 299. b) N.M. Joshi Marg Mun No. 462 Ward Bldg to 562 Mun Chawl. c) N.M. Joshi Marg Mun No. 616D to 616M. d) Keshavrao Khadye Marg Mun No. 41 to 43K.
089-N.M.Joshi_Marg.pdf,1,-,N.M. Joshi Marg Municipal House No. 462 Municipal Bldg to Slums near Municipal Store.
090-N.M.Joshi_Marg.pdf,1,0090,a) N.M. Joshi Marg Municipal House No. 616N to 638B. b) N.M. Joshi Marg Municipal House No. 574B to 576K.
091-N.M.Joshi_Marg.pdf,1,0091,a) N.M. Joshi Marg Municipal House No. 576D to 586E. b) N.M. Joshi Marg Municipal House No. 592 to 606B. c) Ganesh Hari Parundekar Marg Kasim Bldg to Mun Patra Chawl No. 57. d) N.M. Joshi Marg 1st Cross Lane Municipal House No. 4 to 6E.
092-N.M.Joshi_Marg.pdf,1,0092,a) N.M. Joshi Marg 1st Cross Lane Municipal House No. 4 to 6E. b) Pais Street Indian Hotel Co. Bldg to A-1 Municipal Bldg.
093-N.M.Joshi_Marg.pdf,1,0093,a) N.M. Joshi Marg Slums near S-Bridge to Municipal House No. 615 and Slums near Railway Chawl. b) Ganesh Hari Parundekar Marg Municipal House No. 2 to Kasim Bldg Compound. c) Pais Street Dubhasha Bldg (Coronation Bakery) to Municipal House No. 36-38.
094-N.M.Joshi_Marg.pdf,1,0094,Musa Killedar Street 2 to Municipal Patra Chawl No. 41.
095-Bapurao_Jagtap_Marg.pdf,1,0095,a) Musa Killedar Street Municipal House No. 56 Patra Chawl No. 40 to Municipal House No. 66 Patra Chawl No. 13. b) Keshavrao Khadye Marg Municipal House No. 29 to 33.
096-Bapurao_Jagtap_Marg.pdf,1,0096,a) Musa Killedar Street Municipal Bldg No. 3 to Slums near Municipal Bldg No. 20. b) Bapurao Jagtap Marg Municipal House No. 174J to 744. c) Keshavrao Khadye Marg Municipal House No. 17 to 23.
097-Bapurao_Jagtap_Marg.pdf,1,0097,a) N.M. Joshi Marg Municipal House No. 616 to 616C. b) Musa Killedar Street Municipal House No. 1 to 51.
098-Bapurao_Jagtap_Marg.pdf,1,0098,a) N.M. Joshi Marg 1st Cross Lane Municipal House No. 1 to 17. b) Pais Street Janata Sevak Society Slums opposite Municipal Bldg A-1 to Municipal House No. 37 Mun Patra Chawl.
099-Bapurao_Jagtap_Marg.pdf,1,-,N.M. Joshi Marg 1st Cross Lane Municipal House No. 27 to 39.
100-Ganesh_Hari_Marg.pdf,1,0100,a) N.M. Joshi Marg 1st Cross Lane Municipal House No. 47 Poman Niwas. b) Bapurao Jagtap Marg Municipal House No. 571 to 605 near 80 Tenements Block A and B. c) Bapurao Jagtap Marg Mun Bldg No. 673 to 689 and Mun Bldg No. 4 to 18.
101-Ganesh_Hari_Marg.pdf,1,0101,a) Bapurao Jagtap Marg Municipal House No. 684 to 698. b) Ganesh Hari Parundekar Marg Farida Manzil Isa Mansion. c) Ganesh Hari Parundekar Marg Cement Chawl 72 and nearby slums.
102-Bapurao_Jagtap_Marg.pdf,1,0102,Bapurao Jagtap Marg Municipal House No. 666 Municipal Chawl No. 1 to 17 and Block A to F.
103-Bapurao_Jagtap_Marg.pdf,1,0103,a) Bapurao Jagtap Marg Municipal House No. 586 to 664 Old Ahmed Suleman Chawl. b) Bapurao Jagtap Marg Municipal House No. 666 Mun Block G and Slums behind Block A to G.
104-Bapurao_Jagtap_Marg.pdf,1,0104,"a) Maulana Azad Road Municipal House No. 25E P.M. Chawl to 49B U.H. Kasam Chawl, Slums near 957 Bradbury Mill and Khushnuma Apartment. b) B.J. Marg Byculla Slum Association (M.P. Nagar) and Mun Bldg 118."
105-Bapurao_Jagtap_Marg.pdf,1,0105,"a) Maulana Azad Road Municipal House No. 11-15 Allarakha Bldg to Municipal House No. 25C Peer Mohammad Chawl. b) Bapurao Jagtap Marg Municipal House No. 714B to 714I. c) Bapurao Jagtap Marg near Municipal House No. 605, 80 Tenement Block C to E and Municipal House No. 663 to 673. d) Ganeshhari Parundekar Marg Municipal House No. 74 to 98."
106-Sant_Savata_Marg.pdf,1,0106,a) Dr. Babasaheb Ambedkar Road Municipal House No. 62 to 114E. b) Dr. Babasaheb Ambedkar Road Municipal House No. 114F to 138. c) Sant Savata Marg Municipal House No. 124 to 168. d) Khambata Lane. e) Sant Savata Marg 1st Cross Lane.
107-Sant_Savata_Marg.pdf,1,0107,Sant Savata Marg Municipal House No. 46 to 122G Sequeira Compound.
108-Sant_Savata_Marg.pdf,1,0108,a) Dr. Babasaheb Ambedkar Marg Municipal House No. 91 to 225. b) Sant Savata Marg 2nd Cross Lane. c) Dr. Mascarenhas Road C.H. No. 167 to C.H. No. 172.
109-Sant_Savata_Marg.pdf,1,0109,a) E.S. Patanwala Marg Municipal House No. 31 to 35 and Slums opposite Mun School. b) Rambhau Bhogle Marg Municipal House No. 4 to 10. c) Sant Savata Marg 1st Cross Lane.
